,2018,2018,2015,2015,2012,2012,2009,2009,2006,2006,2003,2003,2018,2015,2012,2009,2006,2003
,M,F,M,F,M,F,M,F,M,F,M,F,av,av,av,av,av,av
Switzerland,519.0,512.0,527.0,515.0,537.0,524.0,544.0,524.0,536.0,523.0,535.0,518.0,515.0,521.0,531.0,534.0,530.0,527.0
Thailand,410.0,426.0,414.0,417.0,419.0,433.0,421.0,417.0,413.0,420.0,415.0,419.0,419.0,415.0,427.0,419.0,417.0,417.0
Trinidad and Tobago,,,408.0,426.0,,,410.0,418.0,,,,,,417.0,,414.0,,
Tunisia,,,370.0,364.0,396.0,381.0,378.0,366.0,373.0,358.0,365.0,353.0,,367.0,388.0,371.0,365.0,359.0
Turkey,456.0,451.0,423.0,418.0,452.0,444.0,451.0,440.0,427.0,421.0,430.0,415.0,454.0,420.0,448.0,445.0,424.0,423.0
Ukraine,456.0,449.0,,,,,,,,,,,453.0,,,,,
United Arab Emirates,430.0,439.0,424.0,431.0,432.0,436.0,,,,,,,435.0,427.0,434.0,,,
United Kingdom,508.0,496.0,498.0,487.0,500.0,488.0,503.0,482.0,504.0,487.0,512.0,505.0,502.0,492.0,494.0,492.0,495.0,508.0
United States,482.0,474.0,474.0,465.0,484.0,479.0,497.0,477.0,479.0,470.0,486.0,480.0,478.0,470.0,481.0,487.0,474.0,483.0
Uruguay,422.0,414.0,425.0,412.0,415.0,404.0,433.0,421.0,433.0,420.0,428.0,416.0,418.0,418.0,409.0,427.0,427.0,422.0
Viet Nam,,,493.0,496.0,517.0,507.0,,,,,,,,495.0,511.0,,,
